num_mules,num_sensors,advertisement_period,connection_time,ble_throughput,sample_period,sample_length,batch_period,batch_length
100,1000,2.0,1.5,125000.0,10.0,128,600.0,100000

sensor_id,mule_id,sample_time,pickup_time,batch_time,data_length
59,0,280.0,339.902048,600,128
59,0,290.0,339.90307199999995,600,128
59,0,300.0,339.9040959999999,600,128
59,0,310.0,339.9051199999999,600,128
59,0,320.0,339.90614399999987,600,128
59,0,330.0,339.90716799999984,600,128
59,0,340.0,340.001024,600,128
605,0,90.0,346.101024,600,128
605,0,100.0,346.10204799999997,600,128
605,0,110.0,346.10307199999994,600,128
605,0,120.0,346.1040959999999,600,128
605,0,130.0,346.1051199999999,600,128
605,0,140.0,346.10614399999986,600,128
605,0,150.0,346.10716799999983,600,128
605,0,160.0,346.1081919999998,600,128
605,0,170.0,346.1092159999998,600,128
605,0,180.0,346.11023999999975,600,128
605,0,190.0,346.1112639999997,600,128
605,0,200.0,346.1122879999997,600,128
605,0,210.0,346.11331199999967,600,128
605,0,220.0,346.11433599999964,600,128
605,0,230.0,346.1153599999996,600,128
605,0,240.0,346.1163839999996,600,128
605,0,250.0,346.11740799999956,600,128
605,0,260.0,346.11843199999953,600,128
605,0,270.0,346.1194559999995,600,128
605,0,280.0,346.1204799999995,600,128
605,0,290.0,346.12150399999945,600,128
605,0,300.0,346.1225279999994,600,128
605,0,310.0,346.1235519999994,600,128
605,0,320.0,346.12457599999937,600,128
605,0,330.0,346.12559999999934,600,128
605,0,340.0,346.1266239999993,600,128
591,0,100.0,349.301024,600,128
591,0,110.0,349.30204799999996,600,128
591,0,120.0,349.30307199999993,600,128
591,0,130.0,349.3040959999999,600,128
591,0,140.0,349.3051199999999,600,128
591,0,150.0,349.30614399999985,600,128
591,0,160.0,349.3071679999998,600,128
591,0,170.0,349.3081919999998,600,128
591,0,180.0,349.30921599999976,600,128
591,0,190.0,349.31023999999974,600,128
591,0,200.0,349.3112639999997,600,128
591,0,210.0,349.3122879999997,600,128
591,0,220.0,349.31331199999966,600,128
591,0,230.0,349.3143359999996,600,128
591,0,240.0,349.3153599999996,600,128
591,0,250.0,349.3163839999996,600,128
591,0,260.0,349.31740799999955,600,128
591,0,270.0,349.3184319999995,600,128
591,0,280.0,349.3194559999995,600,128
591,0,290.0,349.32047999999946,600,128
591,0,300.0,349.32150399999944,600,128
591,0,310.0,349.3225279999994,600,128
591,0,320.0,349.3235519999994,600,128
591,0,330.0,349.32457599999935,600,128
591,0,340.0,349.3255999999993,600,128
591,0,350.0,350.001024,600,128
605,0,350.0,350.001024,600,128
591,0,360.0,360.001024,600,128
605,0,360.0,360.001024,600,128
59,0,370.0,370.001024,600,128
605,0,370.0,374.40102400000006,600,128
59,0,380.0,380.001024,600,128
605,0,380.0,382.001024,600,128
59,0,390.0,390.001024,600,128
293,0,350.0,401.601024,600,128
293,0,360.0,401.60204799999997,600,128
293,0,370.0,401.60307199999994,600,128
293,0,380.0,401.6040959999999,600,128
293,0,390.0,401.6051199999999,600,128
293,0,400.0,401.60614399999986,600,128
462,0,320.0,408.80102400000004,600,128
462,0,330.0,408.802048,600,128
462,0,340.0,408.803072,600,128
462,0,350.0,408.80409599999996,600,128
462,0,360.0,408.80511999999993,600,128
462,0,370.0,408.8061439999999,600,128
462,0,380.0,408.8071679999999,600,128
462,0,390.0,408.80819199999985,600,128
462,0,400.0,408.8092159999998,600,128
293,0,410.0,419.301024,600,128
293,0,420.0,420.001024,600,128
591,0,420.0,426.2010240000001,600,128
59,0,420.0,426.801024,600,128
59,0,430.0,430.001024,600,128
605,0,430.0,430.601024,600,128
474,0,440.0,440.001024,600,128
605,0,440.0,440.001024,600,128
59,0,450.0,450.001024,600,128
474,0,450.0,450.001024,600,128
591,0,450.0,450.001024,600,128
605,0,450.0,450.001024,600,128
