sensor ID,norm_secs (secs),time (days)
5.000000000000000000e+00,5.600181017652691662e+04,3.967014995899581845e+04
5.000000000000000000e+00,5.600511022426861018e+04,3.967016072777142108e+04
5.000000000000000000e+00,5.835144416861219361e+04,3.967100438276943169e+04
5.000000000000000000e+00,5.835474421635388717e+04,3.967101464246000251e+04
5.000000000000000000e+00,5.835804426409558073e+04,3.967102490215057333e+04
5.000000000000000000e+00,5.857254736730561126e+04,3.967143988610865199e+04
5.000000000000000000e+00,5.857584741504730482e+04,3.967144443447016238e+04
5.000000000000000000e+00,5.857914746278899838e+04,3.967144898283167277e+04
5.000000000000000000e+00,5.858244751053069194e+04,3.967145353119318315e+04
5.000000000000000000e+00,5.858574755827238550e+04,3.967145807955469354e+04
5.000000000000000000e+00,5.858904760601407907e+04,3.967146262791620393e+04
5.000000000000000000e+00,6.050307529619590787e+04,3.967254436126706423e+04
5.000000000000000000e+00,6.050637534393760143e+04,3.967254951992848510e+04
5.000000000000000000e+00,6.050967539167928771e+04,3.967255467858990596e+04
5.000000000000000000e+00,6.063507720586362120e+04,3.967261044441154081e+04
5.000000000000000000e+00,6.063837725360530749e+04,3.967261048260653479e+04
5.000000000000000000e+00,6.064167730134700105e+04,3.967261052080153604e+04
5.000000000000000000e+00,6.100138250519151916e+04,3.967307885005168646e+04
5.000000000000000000e+00,6.100468255293321272e+04,3.967308898544580006e+04
5.000000000000000000e+00,6.100798260067490628e+04,3.967309912083992094e+04
5.000000000000000000e+00,6.101128264841659984e+04,3.967310925623403455e+04
5.000000000000000000e+00,6.194849620705735288e+04,3.967379127518388850e+04
5.000000000000000000e+00,6.195179625479904644e+04,3.967379748498905974e+04
5.000000000000000000e+00,6.195509630254074000e+04,3.967380369479423098e+04
5.000000000000000000e+00,6.220919997865108598e+04,3.967431086651473015e+04
5.000000000000000000e+00,6.221250002639277955e+04,3.967431764045664750e+04
5.000000000000000000e+00,6.221580007413447311e+04,3.967432441439857212e+04
5.000000000000000000e+00,6.221910012187616667e+04,3.967433118834048946e+04
5.000000000000000000e+00,6.222240016961786023e+04,3.967433796228241408e+04
5.000000000000000000e+00,6.222570021735955379e+04,3.967434473622433143e+04
5.000000000000000000e+00,6.382292332433886622e+04,3.967520027003593714e+04
5.000000000000000000e+00,6.382622337208055978e+04,3.967520593262129114e+04
5.000000000000000000e+00,6.382952341982225335e+04,3.967521159520664514e+04
5.000000000000000000e+00,6.383282346756394691e+04,3.967521725779199915e+04
5.000000000000000000e+00,6.383612351530564047e+04,3.967522292037735315e+04
5.000000000000000000e+00,6.383942356304733403e+04,3.967522858296270715e+04
5.000000000000000000e+00,6.384272361078902759e+04,3.967523424554806115e+04
5.000000000000000000e+00,6.546634709970188851e+04,3.967543763572972966e+04
5.000000000000000000e+00,6.546964714744358207e+04,3.967543767392472364e+04
5.000000000000000000e+00,6.547294719518526836e+04,3.967543771211971762e+04
5.000000000000000000e+00,6.547624724292696192e+04,3.967543775031471887e+04
5.000000000000000000e+00,6.547954729066865548e+04,3.967543778850971285e+04
5.000000000000000000e+00,6.548284733841034904e+04,3.967543782670471410e+04
5.000000000000000000e+00,6.548614738615204260e+04,3.967543786489970807e+04
5.000000000000000000e+00,6.548944743389373616e+04,3.967543790309470933e+04
