sensor ID, norm_secs (secs),time (days)
8,203.75328033414647,39859.32602723706
8,204.45346342807824,39859.32603534104
8,205.15364652201,39859.326043445006
8,205.8538296159418,39859.326051548975
8,206.55401270987358,39859.32605965294
8,207.25419580380535,39859.32606775692
8,207.95437889773712,39859.32607586089
8,208.65456199166888,39859.32608396486
8,209.35474508560065,39859.32609206883
8,210.05492817953245,39859.3261001728
8,210.75511127346422,39859.32610827677
8,211.455294367396,39859.32611638075
8,212.15547746132776,39859.326124484716
8,212.85566055525953,39859.326132588685
8,213.5558436491913,39859.326140692654
8,214.2560267431231,39859.32614879663
8,214.95620983705487,39859.3261569006
8,215.65639293098664,39859.32616500457
8,216.3565760249184,39859.326173108544
8,217.05675911885018,39859.32618121251
8,217.75694221278195,39859.32618931648
8,218.45712530671375,39859.32619742045
8,219.15730840064552,39859.32620552443
8,219.8574914945773,39859.326213628396
8,220.55767458850906,39859.326221732365
8,221.25785768244083,39859.32622983634
8,221.9580407763726,39859.32623794031
8,222.6582238703044,39859.32624604428
8,223.35840696423617,39859.326254148255
8,224.05859005816794,39859.32626225222
8,224.7587731520997,39859.32627035619
8,225.45895624603148,39859.32627846016
8,226.15913933996328,39859.32628656414
8,226.85932243389504,39859.326294668106
8,227.55950552782681,39859.326302772075
8,228.25968862175858,39859.32631087605
8,228.95987171569035,39859.32631898002
8,229.66005480962212,39859.32632708399
57,626.6638690689384,39859.335250739234
57,627.3640521628702,39859.33525884321
57,628.064235256802,39859.33526694718
57,628.7644183507338,39859.33527505115
57,629.4646014446655,39859.335283155124
57,630.1647845385974,39859.33529125909
57,630.8649676325291,39859.33529936306
57,631.5651507264608,39859.33530746703
57,632.2653338203927,39859.33531557101
57,632.9655169143244,39859.335323674975
57,633.6657000082562,39859.335331778944
