sensor_id,mule_id,interaction_time,interaction_duration
40,0,390.90000000000003,0.5
880,0,392.1,4.1000000000000005
817,0,400.0,1.3
40,0,396.40000000000003,5.7
314,0,395.90000000000003,6.7
880,0,402.3,8.8
40,0,411.5,1.4000000000000001
239,0,419.0,1.0
841,0,413.90000000000003,7.300000000000001
314,0,422.1,1.2000000000000002
40,0,421.70000000000005,2.0
314,0,426.8,2.1
880,0,424.3,14.100000000000001
841,0,438.40000000000003,6.0
239,0,438.70000000000005,7.2
841,0,467.20000000000005,3.8000000000000003
239,0,463.70000000000005,8.8
736,0,476.3,1.8
813,0,477.40000000000003,1.5
192,0,476.90000000000003,2.2
21,0,489.3,4.0
736,0,503.90000000000003,1.4000000000000001
192,0,502.3,4.0
813,0,502.20000000000005,4.4
21,0,510.8,4.7
192,0,515.7,1.3
192,0,520.1,1.3
813,0,520.3000000000001,1.7000000000000002
917,0,522.0,2.9000000000000004
192,0,525.6,0.6000000000000001
813,0,525.0,1.6
954,0,531.3000000000001,2.8000000000000003
715,0,541.7,3.1
954,0,541.0,7.0
626,0,544.5,4.0
954,0,557.2,3.9000000000000004
626,0,556.5,5.0
124,0,564.1,1.8
124,0,568.3000000000001,5.0
124,0,576.1,6.7
695,0,564.2,19.5
124,0,590.5,7.300000000000001
695,0,587.4,11.3
342,0,600.1,2.9000000000000004
502,0,603.5,4.9
336,0,603.7,4.7
191,0,609.8000000000001,3.3000000000000003
645,0,623.5,0.7000000000000001
645,0,626.1,5.5
645,0,634.6,1.7000000000000002
645,0,637.9000000000001,0.9
645,0,640.4000000000001,3.2
645,0,649.4000000000001,0.8
292,0,653.4000000000001,3.5
292,0,659.2,1.6
292,0,661.3000000000001,5.2
446,0,653.0,14.3
292,0,668.6,8.8
292,0,678.5,5.6000000000000005
446,0,667.7,16.900000000000002
292,0,688.2,1.4000000000000001
754,0,708.2,5.9
754,0,715.1,4.4
292,0,690.7,30.0
754,0,723.4000000000001,0.5
292,0,721.7,8.0
446,0,687.2,43.0
446,0,732.3000000000001,3.4000000000000004
292,0,738.6,2.8000000000000003
292,0,742.4000000000001,12.5
446,0,735.8000000000001,19.6
292,0,760.3000000000001,4.9
446,0,759.8000000000001,6.300000000000001
754,0,769.5,1.6
292,0,768.7,14.9
446,0,768.4000000000001,15.8
292,0,790.1,3.6
446,0,788.0,6.300000000000001
754,0,833.9000000000001,5.0
446,0,829.2,10.100000000000001
411,0,838.8000000000001,1.0
292,0,830.4000000000001,11.700000000000001
398,0,844.7,23.400000000000002
416,0,868.2,2.5
0,0,870.5,2.2
95,0,872.6,2.8000000000000003
854,0,871.5,8.5
369,0,876.1,5.5
369,0,890.3000000000001,2.3000000000000003
545,0,881.0,17.3
924,0,880.7,18.6
586,0,881.3000000000001,20.0
60,0,936.7,1.3
112,0,936.4000000000001,2.4000000000000004
739,0,942.5,1.4000000000000001
112,0,945.2,0.6000000000000001
170,0,945.3000000000001,0.6000000000000001
60,0,942.6,4.3
850,0,951.5,3.2
170,0,950.9000000000001,4.0
112,0,950.3000000000001,5.4
112,0,956.9000000000001,1.2000000000000002
170,0,957.2,2.0
850,0,957.5,1.7000000000000002
60,0,950.2,9.3
775,0,959.2,6.5
838,0,966.9000000000001,0.1
775,0,968.1,7.300000000000001
60,0,975.2,2.0
60,0,977.4000000000001,7.9
775,0,982.7,7.7
170,0,990.8000000000001,0.4
60,0,990.1,3.5
170,0,996.9000000000001,1.8
60,0,994.1,6.0
775,0,998.9000000000001,1.8
775,0,1006.3000000000001,1.4000000000000001
112,0,1015.5,0.8
170,0,1013.2,4.0
60,0,1006.9000000000001,10.5
850,0,1013.8000000000001,3.7
368,0,1017.7,1.2000000000000002
368,0,1021.3000000000001,0.5
60,0,1023.4000000000001,1.0
368,0,1028.2,0.5
60,0,1030.1000000000001,1.0
775,0,1017.6,15.3
170,0,1034.6000000000001,3.5
850,0,1035.8,2.4000000000000004
60,0,1032.9,5.5
775,0,1038.2,3.5
60,0,1041.9,2.4000000000000004
775,0,1043.7,4.3
170,0,1052.7,0.1
60,0,1047.8,7.5
593,0,1056.3,3.6
168,0,1060.0,0.8
363,0,1061.9,0.9
459,0,1091.8,3.9000000000000004
840,0,1097.7,1.6
459,0,1108.4,0.30000000000000004
